住居,電気代,ガス代,上下水道代金,和服,洋服,シャツ・セーター類,下着類,履物類,医薬品,交通費,通信費,教育費,教養娯楽,美容サービス,たばこ,エンゲル係数
20490,9436,3512,3528,296,3248,1922,681,1290,1701,4875,10809,6008,25746,2622,1624,22.6
10971,10799,3590,4839,12,3012,1732,985,1604,2255,6644,10240,3445,19924,2467,1108,25.3
21225,8964,5183,4959,51,4560,1943,717,1203,2019,4527,10036,4427,19504,2977,1218,25
13773,7659,4783,3554,19,3120,1927,608,1463,1993,6318,8435,4550,23295,2757,1455,27.3
12157,9472,4277,4632,145,2978,2013,656,1213,2002,2890,11614,4425,21307,2169,1164,23.6
18125,10523,6021,5398,71,2671,1730,781,1418,1941,2287,11760,5962,21173,2649,2120,22.9
18555,11147,5106,5509,83,3618,2404,1038,1152,1968,3085,12009,7643,22273,2809,1416,22.6
15155,10396,5614,4194,39,3671,2151,992,1175,1647,3481,11975,9619,24191,3136,929,23
19939,10854,5762,5473,78,4398,2697,1038,1755,1835,6044,11094,9959,30996,2965,1103,22.6
13849,9241,4783,4165,604,4705,1879,1077,1285,1551,3945,10049,6892,26631,3310,858,22.7
31088,9219,5964,4557,152,5936,3000,849,1756,1621,6592,10329,12220,36100,2615,1725,22
12925,6919,4345,3198,66,4758,1842,799,1481,1600,9643,8781,5234,25685,2221,932,26.7
29287,8463,5393,3784,798,5195,2461,882,1841,2191,8534,9162,8565,31334,3312,1207,25.3
20091,9623,5692,3888,20,4444,2315,848,1669,2398,8659,10292,9720,30219,2725,1009,25
12225,9359,6225,4974,61,2141,1686,607,973,1495,3816,9105,3870,21543,2681,1291,25.2
15374,9979,4825,4658,4,3575,1966,925,1354,1613,3644,11950,7841,26767,2992,792,21.3
21714,10871,4464,4890,443,3890,2195,810,1503,1713,3637,12041,10543,27195,3291,733,23
17233,11057,4260,4198,9,3566,2251,852,1279,1928,2515,9919,4506,21467,2619,926,23.8
19336,8665,4534,4589,13,4192,2247,865,1300,2243,3125,9730,7295,23021,2874,727,24
20380,9844,4946,5514,295,3601,2112,1070,1471,2622,4667,10925,9731,27025,3389,1000,22.4
13306,10448,6598,4187,64,3213,2022,940,1034,1907,2602,12016,8630,23713,2948,674,23.5
16244,9663,5912,4375,46,3570,2135,791,1276,2002,5463,10101,8029,27099,2612,501,24.6
12342,9521,5294,3731,66,4608,2683,1056,1832,1766,6112,10108,7825,29181,3413,897,26.2
19798,9619,4797,4001,258,3620,2266,1068,1067,2083,3173,9177,5224,28544,3181,891,22.8
11707,10388,4248,5137,221,3730,1655,716,1361,1690,8136,9714,12823,24246,2429,1653,25.3
13413,9138,5739,4618,627,5335,2301,853,1802,1998,7391,9061,11257,26015,3331,1129,27.2
17767,8105,5364,2971,27,6525,2305,755,1491,1633,5169,10646,9044,21921,2724,1182,28.1
12863,6827,4924,2681,348,3859,1812,653,1355,1740,6236,7713,7144,24411,2495,876,27.5
26915,10383,6390,5224,169,9165,3441,1102,1747,1978,7656,10852,9690,35546,3365,684,21.4
9812,11602,3805,3381,55,4037,2158,806,1411,1610,3545,10596,11006,22793,2522,1090,24
15823,8653,4782,3696,180,1642,1124,506,864,1500,2021,8124,3616,18443,2346,1233,24.2
24371,8703,4633,4279,108,4588,1605,649,1622,1371,3817,10942,3867,22194,3310,665,21.3
24127,8662,5342,3893,9,4171,1977,865,1217,1425,4332,10898,7071,22650,2670,1506,23.2
16802,7817,4809,3352,428,4020,1910,670,1174,1898,5168,8830,8027,23960,2875,1065,25
22203,8025,5118,3519,149,2702,1916,622,1060,2135,3653,10629,3951,21514,2676,993,21.5
23931,9516,4692,2883,12,4388,2661,809,1487,1895,2947,9865,9129,35612,2528,1962,20.6
11871,9575,4334,3918,484,3710,2442,848,1179,1953,4007,11945,7293,25801,3035,1678,22.1
17195,9446,4873,4139,440,4006,1965,936,1241,1204,2300,12083,8508,21687,2431,709,23.6
18832,9381,5355,3827,140,3395,2326,895,1164,2115,3830,12217,7200,28143,2769,1481,22.3
19904,7127,5415,3833,89,4766,2009,1064,1510,1919,8080,9579,10424,25458,4272,1174,24
13782,7457,3834,3743,14,2816,1407,653,1172,2005,2249,9970,4929,20252,2369,970,24.4
21402,7380,5105,4788,11,2771,1535,719,1137,1667,6390,9623,3098,17859,2098,1359,24.7
28254,7691,4271,3446,13,5137,2154,681,932,1483,2470,9918,5475,18959,2302,1095,22
16132,9147,4730,4137,72,3227,2074,761,1249,1899,2421,11350,5973,24755,2763,1399,23.2
15150,7587,3923,3624,132,2307,2213,834,1294,2259,3052,9673,3807,20402,2005,538,23.2
22157,8204,4939,3598,203,4398,2212,969,1373,1851,4292,12957,12975,27658,2585,633,20.7
23070,7936,4149,3960,38,1742,871,443,771,1334,2994,9427,4904,13361,932,1336,26.8
44365,8957,5541,3735,529,7144,2773,1002,2054,1946,8298,9397,15887,31116,3344,1925,22.7
18163,9064,4578,3650,166,3010,1514,874,1259,1883,6106,8002,6608,28183,3160,874,24.1
21263,8729,5168,3324,79,3375,2312,797,1179,1808,5931,9512,5426,25673,3891,1587,23.2
15167,9248,6163,4406,10,4876,1863,850,932,1849,4766,9578,6414,28394,2885,1012,25.8
14396,7937,4634,3316,44,3426,1587,720,1062,2172,4231,8313,4260,18942,2509,1024,26.2
